

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
077.578  000.069  000.069: require('cmp.utils.event')
077.743  000.086  000.086: require('cmp.utils.window')
077.747  000.166  000.080: require('cmp.view.docs_view')
077.918  000.075  000.075: require('cmp.utils.autocmd')
077.928  000.179  000.104: require('cmp.view.custom_entries_view')
078.026  000.096  000.096: require('cmp.view.wildmenu_entries_view')
078.112  000.083  000.083: require('cmp.view.native_entries_view')
078.191  000.077  000.077: require('cmp.view.ghost_text_view')
078.201  000.773  000.102: require('cmp.view')
078.258  002.945  000.203: require('cmp.core')
078.497  000.087  000.087: require('cmp.config.sources')
078.572  000.071  000.071: require('cmp.config.window')
078.633  003.574  000.471: require('cmp')
079.880  000.089  000.089: require('luasnip.loaders.util')
079.967  000.082  000.082: require('luasnip.nodes.snippetProxy')
079.973  000.308  000.137: require('luasnip.loaders.from_vscode')
089.624  000.091  000.091: require('nvim-tree.iterators.node-iterator')
089.674  000.796  000.705: require('nvim-tree.utils')
089.683  000.885  000.090: require('nvim-tree.events')
089.931  000.076  000.076: require('nvim-tree.log')
090.096  000.161  000.161: require('nvim-tree.git.utils')
090.186  000.087  000.087: require('nvim-tree.git.runner')
090.274  000.086  000.086: require('nvim-tree.watcher')
090.279  000.509  000.100: require('nvim-tree.git')
090.362  000.081  000.081: require('nvim-tree.explorer.watch')
090.440  000.076  000.076: require('nvim-tree.explorer.common')
090.599  000.082  000.082: require('nvim-tree.explorer.node-builders')
090.680  000.079  000.079: require('nvim-tree.explorer.sorters')
090.758  000.075  000.075: require('nvim-tree.explorer.filters')
090.981  000.140  000.140: require('nvim-tree.view')
090.987  000.227  000.087: require('nvim-tree.live-filter')
090.989  000.547  000.085: require('nvim-tree.explorer.explore')
091.072  000.081  000.081: require('nvim-tree.explorer.reload')
091.148  001.463  000.170: require('nvim-tree.explorer')
091.152  002.428  000.080: require('nvim-tree.core')
091.249  000.096  000.096: require('nvim-tree.diagnostics')
091.332  000.080  000.080: require('nvim-tree.renderer.components.padding')
091.413  000.078  000.078: require('nvim-tree.renderer.components.icons')
091.499  000.084  000.084: require('nvim-tree.renderer.components.full-name')
091.577  000.076  000.076: require('nvim-tree.renderer.help')
091.673  000.093  000.093: require('nvim-tree.renderer.components.git')
091.774  000.099  000.099: require('nvim-tree.renderer.builder')
091.858  000.081  000.081: require('nvim-tree.marks')
091.866  003.232  000.118: require('nvim-tree.renderer')
091.946  000.076  000.076: require('nvim-tree.actions.tree-modifiers.collapse-all')
092.019  000.070  000.070: require('nvim-tree.actions.root.dir-up')
092.101  000.079  000.079: require('nvim-tree.actions.root.change-dir')
092.200  000.096  000.096: require('nvim-tree.actions.reloaders.reloaders')
092.275  000.073  000.073: require('nvim-tree.actions.finders.find-file')
092.278  003.742  000.116: require('nvim-tree.lib')
092.368  000.088  000.088: require('nvim-tree.colors')
092.477  000.106  000.106: require('nvim-tree.legacy')
092.580  000.101  000.101: require('nvim-tree.actions.fs.copy-paste')
092.747  000.078  000.078: require('nvim-tree.actions.tree-modifiers.expand-all')
092.821  000.071  000.071: require('nvim-tree.actions.tree-modifiers.toggles')
092.906  000.081  000.081: require('nvim-tree.actions.fs.create-file')
